Unnamed: 0,index,name,price,year,brand,km_drive
2610,2610, HONDA JAZZ 1.5 SV i-VTEC,375000.0,2013,HONDA,126366
2611,2611, MITSUBISHI PAJERO SPORT 2.4 GT Premium 4WD,855000.0,2017,MITSUBISHI,106438
2612,2612, MERCEDES BENZ C180 AMG,989000.0,2012,MERCEDES,50000
2613,2613, HONDA FREED 1.5 SE,435000.0,2013,HONDA,142380
2614,2614, MG ZS,565000.0,2021,MG,45830
2615,2615, MAZDA 3 2.0 S,425000.0,2015,MAZDA,92022
2616,2616, MERCEDES BENZ GLA 200 Urban,990000.0,2014,MERCEDES,80000
2617,2617, ISUZU D-MAX 2.5 Hi-Lander Z-Prestige,425000.0,2012,ISUZU,121447
2618,2618, MERCEDES BENZ E200,1490000.0,2017,MERCEDES,64000
2619,2619, MERCEDES BENZ GLC250 D 4MATIC,1929000.0,2019,MERCEDES,70000
2620,2620, MERCEDES BENZ CLA250 AMG Dynamic,1429000.0,2018,MERCEDES,30000
2621,2621, MERCEDES BENZ S350 CDI BlueTEC,1059000.0,2010,MERCEDES,170000
2622,2622, TOYOTA CAMRY 2.4 Hybrid,359000.0,2011,TOYOTA,168337
2623,2623, HONDA CIVIC 1.8 EL i-VTEC,789000.0,2020,HONDA,49100
2624,2624, HONDA CR-V 2.4 EL 4WD,879000.0,2017,HONDA,89504
2625,2625, TOYOTA VELLFIRE 2.5 Hybrid ZR G Edition E-Four 4WD,3390000.0,2020,TOYOTA,8593
2626,2626, TOYOTA ALPHARD 2.5 S C-Package,3497000.0,2022,TOYOTA,2000
2627,2627, MERCEDES BENZ E220 D,2990000.0,2022,MERCEDES,13900
2628,2628, HYUNDAI H-1 2.5 Elite,1269000.0,2021,HYUNDAI,15800
2629,2629, MERCEDES BENZ C300 AMG Dynamic,1890000.0,2020,MERCEDES,31000
2630,2630, MERCEDES BENZ CLA250 AMG Dynamic,1399000.0,2018,MERCEDES,50000
2631,2631, TOYOTA ALPHARD 2.5 S C-Package,3250000.0,2020,TOYOTA,30000
2632,2632, TOYOTA CAMRY 2.4 Q,199000.0,2004,TOYOTA,139000
2633,2633, TOYOTA VIOS 1.5 Exclusive,388000.0,2016,TOYOTA,49000
2634,2634, FORD RANGER 2.2 Hi-Rider XLT,599000.0,2019,FORD,0
2635,2635, MITSUBISHI TRITON 2.4 GT Plus,479000.0,2019,MITSUBISHI,0
2636,2636, TOYOTA YARIS ATIV 1.2 S+,419000.0,2018,TOYOTA,0
2637,2637, MAZDA 2 1.3 High Connect,429000.0,2019,MAZDA,0
2638,2638, HONDA CITY 1.5 V+ i-VTEC,479000.0,2020,HONDA,0
2639,2639, HONDA JAZZ 1.5 Cool,189000.0,2007,HONDA,0
2640,2640, TOYOTA FORTUNER 2.8 V 4WD,1139000.0,2019,TOYOTA,0
2641,2641, HONDA CIVIC 1.8 E i-VTEC,195000.0,2008,HONDA,205941
2642,2642, BMW X1 sDrive18d,1179000.0,2017,BMW,160000
2643,2643, MAZDA 2 1.5 XD High Plus,399000.0,2017,MAZDA,120000
2644,2644, NISSAN NP 300 NAVARA 2.5 SL,279000.0,2016,NISSAN,125607
2645,2645, MERCEDES BENZ E220 CDI,399000.0,2003,MERCEDES,218386
2646,2646, MAZDA 2 1.5 XD Sport High Plus L,459000.0,2018,MAZDA,123096
2647,2647, TOYOTA VIOS 1.5 E,319000.0,2013,TOYOTA,88728
2648,2648, MITSUBISHI ATTRAGE 1.2 GLS Limited,269000.0,2014,MITSUBISHI,46356
2649,2649, HONDA FREED 1.5 EL,539000.0,2014,HONDA,140000
2650,2650, HONDA ACCORD 2.4 EL NAVI,388000.0,2011,HONDA,178243
2651,2651, MERCEDES BENZ C350 E,1150000.0,2017,MERCEDES,50000
2652,2652, MERCEDES BENZ E250 AMG,1680000.0,2016,MERCEDES,144000
2653,2653, NISSAN NAVARA,439000.0,2018,NISSAN,101906
2654,2654, TOYOTA HILUX VIGO CHAMP,238000.0,2014,TOYOTA,0
2655,2655, BMW 320D Gran Turismo,1069000.0,2016,BMW,101000
2656,2656, FORD RANGER 3.2 WildTrak 4WD,679000.0,2016,FORD,46143
2657,2657, TOYOTA CAMRY 2.0 G,299000.0,2006,TOYOTA,0
2658,2658, HONDA CR-V 2.0 E 4WD,368000.0,2011,HONDA,180000
2659,2659, NISSAN TEANA 2.5 XV,328000.0,2011,NISSAN,162700
2660,2660, NISSAN MARCH 1.2 E,140000.0,2012,NISSAN,130000
2661,2661, MERCEDES BENZ C350 E,1398000.0,2018,MERCEDES,80000
2662,2662, MERCEDES BENZ CLS350,3198000.0,2018,MERCEDES,20000
2663,2663, HONDA HR-V 1.8 EL,598000.0,2015,HONDA,92000
2664,2664, MERCEDES BENZ CLA200 Urban,1299000.0,2018,MERCEDES,60000
2665,2665, MERCEDES BENZ E200,1590000.0,2013,MERCEDES,67000
2666,2666, TOYOTA HILUX VIGO 3.0 G,279000.0,2005,TOYOTA,162754
2667,2667, HONDA CR-V 2.0 S,518000.0,2013,HONDA,94000
2668,2668, MITSUBISHI PAJERO SPORT 2.4 GT Premium,998000.0,2020,MITSUBISHI,53000
2669,2669, MAZDA BT-50,349000.0,2016,MAZDA,123047
2670,2670, HONDA CIVIC 1.8 S i-VTEC,428000.0,2014,HONDA,209900
2671,2671, NISSAN NAVARA,359000.0,2014,NISSAN,148872
2672,2672, NISSAN NAVARA,439000.0,2019,NISSAN,148872
2673,2673, TOYOTA HILUX REVO 2.4 E Prerunner,499000.0,2018,TOYOTA,144197
2674,2674, SUZUKI SWIFT GLX,268000.0,2012,SUZUKI,257852
2675,2675, MAZDA 3 2.0 SP,799000.0,2020,MAZDA,70000
2676,2676, TOYOTA HILUX VIGO 3.0 E,289000.0,2009,TOYOTA,999999
2677,2677, FORD RANGER 2.2 Standard XL,359000.0,2018,FORD,99999
2678,2678, HYUNDAI VELOSTER 1.6 Sport Turbo,589000.0,2013,HYUNDAI,100629
2679,2679, SUZUKI SWIFT 1.5 GL,199000.0,2010,SUZUKI,170000
2680,2680, TOYOTA VIOS 1.5 J,269000.0,2013,TOYOTA,158888
2681,2681, MERCEDES BENZ SLC300 AMG,2397000.0,2017,MERCEDES,70000
2682,2682, TOYOTA ALPHARD 2.5 Hybrid E-Four 4WD,2397000.0,2015,TOYOTA,120000
2683,2683, MERCEDES BENZ GLA200,1797000.0,2021,MERCEDES,30000
2684,2684, TOYOTA YARIS ATIV 1.2 S,428000.0,2019,TOYOTA,61729
2685,2685, MERCEDES BENZ C350 PLUG-IN HYBRID,1190000.0,2017,MERCEDES,111772
2686,2686, HONDA ACCORD 2.0 E i-VTEC,389000.0,2008,HONDA,163373
